BisunERP v1.0 사전점검 보고서
생성시각: 2026-07-23 12:14:57
프로젝트: /mnt/data/BisunERP_v1_7_work/BisunERP

PASS 225 | WARN 2 | FAIL 0
==========================================================================================

[필수파일]
PASS | main.py
PASS | app/main_window.py
PASS | core/database.py
PASS | modules/orders/order_page.py
PASS | modules/orders/order_repository.py
PASS | modules/products/product_page.py
PASS | modules/products/product_repository.py
PASS | modules/suppliers/supplier_repository.py
PASS | modules/mappings/mapping_page.py
PASS | modules/mappings/quick_product_dialog.py
PASS | modules/purchases/purchase_page.py
PASS | modules/purchases/purchase_repository.py
PASS | modules/shipments/shipment_page.py
PASS | modules/settings/settings_page.py
PASS | modules/settings/settings_service.py
PASS | modules/backup_manager/backup_page.py
PASS | modules/backup_manager/backup_service.py
PASS | modules/purchase_dashboard/purchase_dashboard_page.py

[문법검사]
PASS | main.py
PASS | test_purchase_quantity.py
PASS | bisun_workflow_test.py
PASS | bisun_preflight_check.py
PASS | core/database.py
PASS | core/__init__.py
PASS | app/main_window.py
PASS | app/__init__.py
PASS | config/setting.py
PASS | config/coupang.py
PASS | config/__init__.py
PASS | app/widgets/base_dialog.py
PASS | app/widgets/base_search.py
PASS | app/widgets/base_table.py
PASS | app/widgets/base_form.py
PASS | app/widgets/base_button.py
PASS | app/widgets/__init__.py
PASS | modules/orders/order_repository.py
PASS | modules/orders/order_import_service.py
PASS | modules/orders/order_page.py
PASS | modules/orders/__init__.py
PASS | modules/settings/settings_service.py
PASS | modules/settings/settings_page.py
PASS | modules/settings/__init__.py
PASS | modules/purchases/purchase_page.py
PASS | modules/purchases/purchase_service.py
PASS | modules/purchases/purchase_repository.py
PASS | modules/purchases/__init__.py
PASS | modules/delivery/delivery_service.py
PASS | modules/delivery/delivery_page.py
PASS | modules/delivery/__init__.py
PASS | modules/claims/claim_page.py
PASS | modules/claims/claim_service.py
PASS | modules/claims/__init__.py
PASS | modules/exports/export_service.py
PASS | modules/exports/export_page.py
PASS | modules/exports/__init__.py
PASS | modules/search/global_search_service.py
PASS | modules/search/global_search_page.py
PASS | modules/search/__init__.py
PASS | modules/receipts/receipt_service.py
PASS | modules/receipts/receipt_page.py
PASS | modules/receipts/__init__.py
PASS | modules/integrity/integrity_page.py
PASS | modules/integrity/integrity_service.py
PASS | modules/integrity/__init__.py
PASS | modules/alerts/alert_page.py
PASS | modules/alerts/alert_service.py
PASS | modules/alerts/__init__.py
PASS | modules/products/product_runner.py
PASS | modules/products/product_supplier_dialog.py
PASS | modules/products/product_page.py
PASS | modules/products/product_dialog.py
PASS | modules/products/product_repository.py
PASS | modules/products/__init__.py
PASS | modules/dashboard/dashboard_service.py
PASS | modules/dashboard/dashboard_page.py
PASS | modules/dashboard/chart_widgets.py
PASS | modules/dashboard/__init__.py
PASS | modules/mappings/mapping_page.py
PASS | modules/mappings/quick_product_dialog.py
PASS | modules/mappings/__init__.py
PASS | modules/customers/customer_repository.py
